Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773624011,5,,Aggregated,3.400000,0.000000,1000,1000,1000,1000,1000,1100,1100,1200,1200,1200,1200,93,0,1000.0,546.3919483860003,23.880099994130433,1202.970299986191,683.6666666666666
1773624012,5,,Aggregated,3.300000,0.000000,1000,1000,1000,1000,1000,1100,1100,1200,1200,1200,1200,94,0,1000.0,551.6946031903957,23.880099994130433,1202.970299986191,689.8829787234042
1773624013,5,,Aggregated,3.600000,0.000000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,1200,100,0,100.0,540.6587269977899,23.880099994130433,1202.970299986191,677.28
1773624014,5,,Aggregated,3.500000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,102,0,100.0,540.5135970567262,23.880099994130433,1202.970299986191,677.2843137254902
1773624015,5,,Aggregated,3.400000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,106,0,1000.0,550.070515092471,23.880099994130433,1202.970299986191,688.4150943396227
1773624016,5,,Aggregated,3.500000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,108,0,1000.0,549.8521638865997,23.880099994130433,1202.970299986191,688.1944444444445
1773624017,5,,Aggregated,3.500000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,113,0,1000.0,544.7183920336327,23.880099994130433,1202.970299986191,682.4778761061947
1773624018,5,,Aggregated,3.400000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,115,0,1000.0,544.5283713031803,23.880099994130433,1202.970299986191,682.3826086956522
1773624019,5,,Aggregated,3.600000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,119,0,1000.0,552.7657453770976,23.880099994130433,1202.970299986191,692.1260504201681
1773624020,5,,Aggregated,3.400000,0.000000,1000,1000,1000,1000,1000,1100,1100,1100,1200,1200,1200,123,0,1000.0,543.969343087969,23.880099994130433,1202.970299986191,682.0243902439024
1773624021,5,,Aggregated,3.400000,0.000000,1000,1000,1000,1000,1100,1100,1100,1100,1200,1200,1200,126,0,1000.0,547.9380357132796,23.880099994130433,1202.970299986191,686.5793650793651
